title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,283280,
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,69377,
"The Flintstones",movie,"Comedy, Family, Fantasy",1994,tt0109813,5,89752,
"Cinderella Man",movie,"Biography, Drama, Romance",2005,tt0352248,8,204868,
"Dead Man",movie,"Adventure, Drama, Western",1995,tt0112817,7.5,106470,
"Dawn of the Dead",movie,"Action, Horror",2004,tt0363547,7.2,282105,
"Do the Right Thing",movie,"Comedy, Drama",1989,tt0097216,8,119422,
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,tt0120685,5.5,209158,
"Lawrence of Arabia",movie,"Adventure, Biography, Drama",1962,tt0056172,8.3,330526,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,762690,
"Kindergarten Cop",movie,"Action, Comedy, Crime",1990,tt0099938,6.3,170117,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,500019,
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,400064,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,411963,
"Seven Years in Tibet",movie,"Adventure, Biography, Drama",1997,tt0120102,7.1,162349,
Irreversible,movie,"Crime, Drama, Mystery",2002,tt0290673,7.3,156339,
"Adam's Apples",movie,"Comedy, Crime, Drama",2005,tt0418455,7.7,57086,
"Whale Rider",movie,"Drama, Family",2002,tt0298228,7.5,44901,
"Point Break",movie,"Action, Crime, Thriller",1991,tt0102685,7.3,215054,
"The Thirteenth Floor",movie,"Mystery, Sci-Fi, Thriller",1999,tt0139809,7,80326,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1522218,
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,79242,
Babel,movie,Drama,2006,tt0449467,7.5,324327,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,118000,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,262282,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,89161,
"Ghost Rider",movie,"Action, Fantasy, Thriller",2007,tt0259324,5.3,262069,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,174194,
"Don't Worry, I'm Fine",movie,Drama,2006,tt0485241,7.3,11573,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,139042,
"Bridge to Terabithia",movie,"Drama, Family, Fantasy",2007,tt0398808,7.2,183270,
"Mr. Bean's Holiday",movie,"Comedy, Family",2007,tt0453451,6.4,138652,
300,movie,"Action, Drama",2006,tt0416449,7.6,893448,
TMNT,movie,"Action, Adventure, Animation",2007,tt0453556,6.2,70994,
3-Iron,movie,"Crime, Drama, Romance",2004,tt0423866,7.9,60075,
Bean,movie,"Adventure, Comedy, Family",1997,tt0118689,6.5,114062,
"Torrente, the Dumb Arm of the Law",movie,"Comedy, Crime",1998,tt0120868,6.8,14251,
"Torrente 2: Mission in Marbella",movie,"Action, Comedy, Crime",2001,tt0257231,6.4,8327,
"Torrente 3: El protector",movie,"Comedy, Crime",2005,tt0444505,5.6,6575,
"Four Minutes",movie,"Drama, Music",2006,tt0461694,7.3,7609,
"American Psycho",movie,"Crime, Drama, Horror",2000,tt0144084,7.6,785626,
